trial,examine,finalist,sla,depl_cat,depl_5th_ptile,depl_median,landing_median
GP12A,,,1,rescaled,0.869,0.89,0.98
GP12B,,,1,rescaled,0.699,0.731,0.97
GP13A,,,1,rescaled,0.856,0.876,2.43
GP13B,,,1,rescaled,0.677,0.71,2.44
GP13C,TRUE,TRUE,1,rescaled,0.409,0.476,2.36
GP14A,,,1,rescaled,0.861,0.877,2.48
GP14B,,,1,rescaled,0.667,0.7,2.49
GI01A,,,1,rescaled,0.861,0.877,2.48
GI01B,,,1,rescaled,0.667,0.7,2.49
GI01C,TRUE,TRUE,1,rescaled,0.399,0.459,2.38
GI01D,,,1,rescaled,0.671,0.71,2.49
GI02A,,,1,rescaled,0.853,0.876,2.46
GI02B,TRUE,TRUE,1,rescaled,0.607,0.644,2.46
GI02D,,,1,rescaled,0.615,0.673,2.46
GI03A,,,1,rescaled,0.853,0.876,2.48
GI03B,,,1,rescaled,0.639,0.681,2.47
GI04A,,,1,rescaled,0.856,0.876,2.42
GI04B,,,1,rescaled,0.694,0.73,2.49
GI05A,,,1,rescaled,0.859,0.877,2.38
GI05B,,,1,rescaled,0.725,0.753,2.49
GB01A,,,2,final,0.881,0.893,1.63
GB01B,,,2,final,0.7,0.743,1.84
GB01C,TRUE,TRUE,2,final,0.29,0.365,1.98
GB01D,,,2,final,0.705,0.747,1.8
GB02A,,,2,final,0.884,0.896,1.62
GB02B,TRUE,TRUE,2,final,0.662,0.704,1.9
GB02D,,,2,final,0.681,0.715,1.96
GB03A,,,2,final,0.879,0.897,1.63
GB03B,,,2,final,0.695,0.728,1.85
GB04A,,,2,final,0.878,0.893,1.69
GB04B,,,2,final,0.729,0.765,1.85
GB05A,,,2,final,0.873,0.888,1.68
GB05B,,,2,final,0.754,0.779,1.85
GB06A,,,2,final,0.872,0.887,1.61
GB06B,,,2,final,0.692,0.728,1.83
GB07A,,,2,final,0.991,1.009,1.73
GB07B,,,2,final,0.91,0.969,2
GB08A,TRUE,,2,final,0.769,0.788,1.53
GB08B,TRUE,TRUE,2,final,0.396,0.504,1.49
GB09A,TRUE,,2,final,0.942,0.961,1.78
GB09B,TRUE,TRUE,2,final,0.818,0.868,2.14
GB10A,TRUE,TRUE,2,final,0.837,0.849,1.32
GB10B,TRUE,TRUE,2,final,0.575,0.633,1.38
GB11A,,,2,final,0.873,0.887,2.93
GB11B,,,2,final,0.693,0.728,3.23
GB12A,,,2,final,0.885,0.902,0.66
GB12B,,,2,final,0.726,0.759,0.77
GP01A,,,2,final,0.877,0.893,1.75
GP01B,,,2,final,0.684,0.732,1.88
GP01C,TRUE,TRUE,2,final,0.438,0.515,1.57
GP01D,,,2,final,0.683,0.732,1.95
GP02A,,,2,final,0.88,0.893,1.61
GP02B,TRUE,TRUE,2,final,0.635,0.684,1.9
GP02C,,TRUE,2,final,0.299,0.347,1.31
GP02D,,,2,final,0.661,0.711,1.83
GP03A,,,2,final,0.878,0.892,1.69
GP03B,,,2,final,0.664,0.71,1.9
GP04A,,,2,final,0.874,0.888,1.57
GP04B,,,2,final,0.719,0.749,2.07
GP05B,,,2,final,0.738,0.764,1.95
GP06A,,,2,final,0.87,0.885,1.74
GP06B,,,2,final,0.67,0.718,1.88
GP07A,,,2,final,0.978,1.005,1.84
GP07B,,,2,final,0.885,0.955,2
GP08A,TRUE,,2,final,0.75,0.782,1.61
